2025-01-30 13:37:24.748131 | 1046 | Small Coca-Cola® Float | 4.29
2025-01-30 13:37:24.748131 | 1046 | Small Fanta® Orange Float | 4.29
2025-01-30 13:37:24.748131 | 1046 | Small Dr Pepper® Float | 4.29
2025-01-30 13:37:24.748131 | 1046 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:24.748131 | 1046 | Small BARQ’S® Root Beer Float | 4.29
2025-01-30 13:37:26.590011 | 1047 | Small Coca-Cola® Float | No price
2025-01-30 13:37:26.590011 | 1047 | Small Fanta® Orange Float | No price
2025-01-30 13:37:26.590011 | 1047 | Small Dr Pepper® Float | No price
2025-01-30 13:37:26.590011 | 1047 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:26.590011 | 1047 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:28.423096 | 1048 | Small Coca-Cola® Float | 3.99
2025-01-30 13:37:28.423096 | 1048 | Small Fanta® Orange Float | 3.99
2025-01-30 13:37:28.423096 | 1048 | Small Dr Pepper® Float | 3.99
2025-01-30 13:37:28.423096 | 1048 | Jr. Deluxe Cheeseburger | 2.99
2025-01-30 13:37:28.423096 | 1048 | Small BARQ’S® Root Beer Float | 3.99
2025-01-30 13:37:30.087395 | 1050 | Small Coca-Cola® Float | No price
2025-01-30 13:37:30.087395 | 1050 | Small Fanta® Orange Float | No price
2025-01-30 13:37:30.087395 | 1050 | Small Dr Pepper® Float | No price
2025-01-30 13:37:30.087395 | 1050 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:30.087395 | 1050 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:31.441307 | 1051 | Small Coca-Cola® Float | 3.79
2025-01-30 13:37:31.441307 | 1051 | Small Fanta® Orange Float | 3.79
2025-01-30 13:37:31.441307 | 1051 | Small Dr Pepper® Float | 3.79
2025-01-30 13:37:31.441307 | 1051 | Jr. Deluxe Cheeseburger | 2.89
2025-01-30 13:37:31.441307 | 1051 | Small BARQ’S® Root Beer Float | 3.79
2025-01-30 13:37:33.894910 | 1052 | Small Coca-Cola® Float | No price
2025-01-30 13:37:33.894910 | 1052 | Small Fanta® Orange Float | No price
2025-01-30 13:37:33.894910 | 1052 | Small Dr Pepper® Float | No price
2025-01-30 13:37:33.894910 | 1052 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:33.894910 | 1052 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:35.494465 | 1053 | Small Coca-Cola® Float | 3.78
2025-01-30 13:37:35.494465 | 1053 | Small Fanta® Orange Float | 3.78
2025-01-30 13:37:35.494465 | 1053 | Small Dr Pepper® Float | 3.78
2025-01-30 13:37:35.494465 | 1053 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:35.494465 | 1053 | Small BARQ’S® Root Beer Float | 3.78
2025-01-30 13:37:37.414429 | 1054 | Small Coca-Cola® Float | 3.78
2025-01-30 13:37:37.414429 | 1054 | Small Fanta® Orange Float | 3.78
2025-01-30 13:37:37.414429 | 1054 | Small Dr Pepper® Float | 3.78
2025-01-30 13:37:37.414429 | 1054 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:37.414429 | 1054 | Small BARQ’S® Root Beer Float | 3.78
2025-01-30 13:37:39.215493 | 1055 | Small Coca-Cola® Float | No price
2025-01-30 13:37:39.215493 | 1055 | Small Fanta® Orange Float | No price
2025-01-30 13:37:39.215493 | 1055 | Small Dr Pepper® Float | No price
2025-01-30 13:37:39.215493 | 1055 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:39.215493 | 1055 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:41.265006 | 1056 | Small Coca-Cola® Float | 3.79
2025-01-30 13:37:41.265006 | 1056 | Small Fanta® Orange Float | 3.79
2025-01-30 13:37:41.265006 | 1056 | Small Dr Pepper® Float | 3.79
2025-01-30 13:37:41.265006 | 1056 | Jr. Deluxe Cheeseburger | 2.79
2025-01-30 13:37:41.265006 | 1056 | Small BARQ’S® Root Beer Float | 3.79
2025-01-30 13:37:42.589645 | 1057 | Small Coca-Cola® Float | 3.79
2025-01-30 13:37:42.589645 | 1057 | Small Fanta® Orange Float | 3.79
2025-01-30 13:37:42.589645 | 1057 | Small Dr Pepper® Float | 3.79
2025-01-30 13:37:42.589645 | 1057 | Jr. Deluxe Cheeseburger | 2.79
2025-01-30 13:37:42.589645 | 1057 | Small BARQ’S® Root Beer Float | 3.79
2025-01-30 13:37:44.347027 | 1058 | Small Coca-Cola® Float | 3.54
2025-01-30 13:37:44.347027 | 1058 | Small Fanta® Orange Float | 3.54
2025-01-30 13:37:44.347027 | 1058 | Small Dr Pepper® Float | 3.54
2025-01-30 13:37:44.347027 | 1058 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:44.347027 | 1058 | Small BARQ’S® Root Beer Float | 3.54
2025-01-30 13:37:45.815302 | 1059 | Small Coca-Cola® Float | No price
2025-01-30 13:37:45.815302 | 1059 | Small Fanta® Orange Float | No price
2025-01-30 13:37:45.815302 | 1059 | Small Dr Pepper® Float | No price
2025-01-30 13:37:45.815302 | 1059 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:45.815302 | 1059 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:47.688438 | 1060 | Small Coca-Cola® Float | No price
2025-01-30 13:37:47.688438 | 1060 | Small Fanta® Orange Float | No price
2025-01-30 13:37:47.688438 | 1060 | Small Dr Pepper® Float | No price
2025-01-30 13:37:47.688438 | 1060 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:47.688438 | 1060 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:49.349999 | 1061 | Small Coca-Cola® Float | No price
2025-01-30 13:37:49.349999 | 1061 | Small Fanta® Orange Float | No price
2025-01-30 13:37:49.349999 | 1061 | Small Dr Pepper® Float | No price
2025-01-30 13:37:49.349999 | 1061 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:49.349999 | 1061 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:50.755704 | 1062 | Small Coca-Cola® Float | No price
2025-01-30 13:37:50.755704 | 1062 | Small Fanta® Orange Float | No price
2025-01-30 13:37:50.755704 | 1062 | Small Dr Pepper® Float | No price
2025-01-30 13:37:50.755704 | 1062 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:50.755704 | 1062 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:52.634505 | 1063 | Small Coca-Cola® Float | No price
2025-01-30 13:37:52.634505 | 1063 | Small Fanta® Orange Float | No price
2025-01-30 13:37:52.634505 | 1063 | Small Dr Pepper® Float | No price
2025-01-30 13:37:52.634505 | 1063 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:52.634505 | 1063 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:54.142229 | 1064 | Small Coca-Cola® Float | No price
2025-01-30 13:37:54.142229 | 1064 | Small Fanta® Orange Float | No price
2025-01-30 13:37:54.142229 | 1064 | Small Dr Pepper® Float | No price
2025-01-30 13:37:54.142229 | 1064 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:54.142229 | 1064 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:55.920213 | 1065 | Small Coca-Cola® Float | 3.99
2025-01-30 13:37:55.920213 | 1065 | Small Fanta® Orange Float | 3.99
2025-01-30 13:37:55.920213 | 1065 | Small Dr Pepper® Float | 3.99
2025-01-30 13:37:55.920213 | 1065 | Jr. Deluxe Cheeseburger | 2.49
2025-01-30 13:37:55.920213 | 1065 | Small BARQ’S® Root Beer Float | 3.99
2025-01-30 13:37:57.564410 | 1066 | Small Coca-Cola® Float | 4.69
2025-01-30 13:37:57.564410 | 1066 | Small Fanta® Orange Float | 4.69
2025-01-30 13:37:57.564410 | 1066 | Small Dr Pepper® Float | 4.69
2025-01-30 13:37:57.564410 | 1066 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:57.564410 | 1066 | Small BARQ’S® Root Beer Float | 4.69
2025-01-30 13:37:59.205273 | 1067 | Small Coca-Cola® Float | 4.29
2025-01-30 13:37:59.205273 | 1067 | Small Fanta® Orange Float | 4.29
2025-01-30 13:37:59.205273 | 1067 | Small Dr Pepper® Float | 4.29
2025-01-30 13:37:59.205273 | 1067 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:59.205273 | 1067 | Small BARQ’S® Root Beer Float | 4.29
2025-01-30 13:38:00.952467 | 1068 | Small Coca-Cola® Float | No price
2025-01-30 13:38:00.952467 | 1068 | Small Fanta® Orange Float | No price
2025-01-30 13:38:00.952467 | 1068 | Small Dr Pepper® Float | No price
2025-01-30 13:38:00.952467 | 1068 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:38:00.952467 | 1068 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:38:02.508053 | 1070 | Small Coca-Cola® Float | 4.29
2025-01-30 13:38:02.508053 | 1070 | Small Fanta® Orange Float | 4.29
2025-01-30 13:38:02.508053 | 1070 | Small Dr Pepper® Float | 4.29
